global_frame_idx,day_str,video_path,video_name,frame_idx_in_video,frame_time,timestamp_ms
54,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,54,20190701-000027000,1561932027000
55,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,55,20190701-000027500,1561932027500
56,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,56,20190701-000028000,1561932028000
57,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,57,20190701-000028500,1561932028500
58,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,58,20190701-000029000,1561932029000
59,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,59,20190701-000029500,1561932029500
60,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,60,20190701-000030000,1561932030000
61,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,61,20190701-000030500,1561932030500
62,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,62,20190701-000031000,1561932031000
63,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,63,20190701-000031500,1561932031500
64,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,64,20190701-000032000,1561932032000
65,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,65,20190701-000032500,1561932032500
66,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,66,20190701-000033000,1561932033000
67,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,67,20190701-000033500,1561932033500
68,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,68,20190701-000034000,1561932034000
69,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,69,20190701-000034500,1561932034500
70,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,70,20190701-000035000,1561932035000
71,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,71,20190701-000035500,1561932035500
72,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,72,20190701-000036000,1561932036000
73,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,73,20190701-000036500,1561932036500
74,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,74,20190701-000037000,1561932037000
75,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,75,20190701-000037500,1561932037500
76,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,76,20190701-000038000,1561932038000
77,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,77,20190701-000038500,1561932038500
78,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,78,20190701-000039000,1561932039000
79,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,79,20190701-000039500,1561932039500
80,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,80,20190701-000040000,1561932040000
81,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,81,20190701-000040500,1561932040500
82,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,82,20190701-000041000,1561932041000
83,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,83,20190701-000041500,1561932041500
84,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,84,20190701-000042000,1561932042000
85,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,85,20190701-000042500,1561932042500
86,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,86,20190701-000043000,1561932043000
87,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,87,20190701-000043500,1561932043500
88,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,88,20190701-000044000,1561932044000
89,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,89,20190701-000044500,1561932044500
90,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,90,20190701-000045000,1561932045000
91,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,91,20190701-000045500,1561932045500
92,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,92,20190701-000046000,1561932046000
93,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,93,20190701-000046500,1561932046500
94,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,94,20190701-000047000,1561932047000
95,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,95,20190701-000047500,1561932047500
96,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,96,20190701-000048000,1561932048000
97,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,97,20190701-000048500,1561932048500
98,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,98,20190701-000049000,1561932049000
99,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,99,20190701-000049500,1561932049500
